city,state,state_name,county,lat,lng,population,density,timezone,zips
"West Covina","CA","California","Los Angeles","34.0555","-117.9113","107436","2586.7","America/Los_Angeles","91792,91791,91790,91793"
"Centennial","CO","Colorado","Arapahoe","39.5926","-104.8673","107386","1374.9","America/Denver","80122,80121,80016,80015,80112,80111,80155,80161"
"Bloomington","IN","Indiana","Monroe","39.1637","-86.5257","107262","1308.5","America/Indiana/Indianapolis","47405,47408,47401,47403,47404,47406,47407"
"Sandy Springs","GA","Georgia","Fulton","33.9366","-84.3703","107198","1097.6","America/New_York","30350,30327,30328,30342,30358,31150,31156"
"El Monte","CA","California","Los Angeles","34.0739","-118.0291","107066","4325.4","America/Los_Angeles","91731,91733,91732,91734,91735"
"Hillsboro","OR","Oregon","Washington","45.5273","-122.936","107050","1563.1","America/Los_Angeles","97006,97123,97124,97129"
"Menifee","CA","California","Riverside","33.6909","-117.1849","107020","889.3","America/Los_Angeles","92587,92586,92585,92584,92564"
"Rio Rancho","NM","New Mexico","Sandoval","35.2873","-106.6982","106533","397.9","America/Denver","87121,87124,87144,87174"
"Davie","FL","Florida","Broward","26.0789","-80.287","106412","1177.4","America/New_York","33324,33325,33331,33330,33328,33314,33355"
"Jurupa Valley","CA","California","Riverside","34.001","-117.4706","106244","955.3","America/Los_Angeles","92509,91752,92519"
"Columbia","MD","Maryland","Howard","39.2004","-76.859","105871","1280.1","America/New_York","21044,21045,21046,21029,20588,21150"
